                                                           The SAS System                      23:20 Wednesday, December 6, 2017   1

                                                            Obs       n

                                                              1    1123
                                                              2     664
                                                              3     357
                                                              4     269
                                                              5     239
                                                              6     220
                                                              7     211
                                                              8     128
                                                              9      90
                                                             10      83
