0	[83600, 4.773935629964137, 490993.45243790746]
1	[83087, -12.361767651907105, 467100.8981140686]
10	[83657, -14.666192221511492, 446076.3450347326]
11	[83375, -1.7323785162578742, 236884.08548549315]
2	[83648, -12.645073579188846, 228270.62775098145]
3	[83325, -8.475245279256086, 360598.71315346693]
4	[83085, -9.028966648612847, 296398.21747314656]
5	[83840, -11.389694014658927, 424077.49232982803]
6	[83733, 6.90322517424433, 584220.674423516]
7	[82677, 12.337012114396911, 376030.03524316824]
8	[82880, -4.722120531998074, 586538.4539580637]
9	[83093, 1.784695478030659, 551611.8075808571]
